Feature,MI_Score
Packet Length Mean,0.5279644437894433
Packet Length Variance,0.5149232251431628
ByteRatio,0.512739484329825
Bwd Packet Length Max,0.4832720995809696
Max Packet Length,0.47534420744823525
Total Length of Fwd Packets,0.4662765082803153
Init_Win_bytes_backward,0.4661222474423956
Fwd Packet Length Max,0.4606825218840267
Init_Win_bytes_forward,0.44424925087398304
Fwd Packet Length Mean,0.41915741413864716
Flow IAT Max,0.4010601860245617
Bwd Header Length,0.39615499651565744
Flow Duration,0.37340952175599806
Fwd IAT Std,0.3676832689101952
Bwd Packets/s,0.3675969416122564
Bwd IAT Max,0.34775401597471944
Fwd Header Length,0.346645383644554
Fwd Packets/s,0.3355322402121461
Flow IAT Std,0.32813664051292823
Flow IAT Mean,0.32796960731354674
Flow Packets/s,0.32430697359300353
Flow Bytes/s,0.3239655807816346
Bwd IAT Total,0.32108365098773417
Bwd IAT Mean,0.29410312806655803
PacketRatio,0.29185426467714115
Active Mean,0.2603818199355372
Active Min,0.2578676295855129
Active Max,0.2569463630668274
Bwd IAT Std,0.24155837611774644
Bwd IAT Min,0.2129868321594235
Total Fwd Packets,0.2098808694209089
Min Packet Length,0.13722339221175472
act_data_pkt_fwd,0.1347427874070053
Bwd Packet Length Min,0.1331568799300391
Fwd Packet Length Min,0.12705172422402167
Down/Up Ratio,0.12614546638871338
Fwd IAT Min,0.12489963172035301
PSH Flag Count,0.09432319264276612
ACK Flag Count,0.0724324807938086
Flow IAT Min,0.06866603755785539
FIN Flag Count,0.06544679329692871
min_seg_size_forward,0.057929960980633854
Idle Std,0.04591762639095909
Active Std,0.02946280793338696
Fwd PSH Flags,0.009403613526712373
URG Flag Count,0.00822042004412249
