Feature,F_Statistic,pvalue
Fwd IAT Std,188496.39663364863,0.0
Bwd Packet Length Max,178467.61035466488,0.0
Flow IAT Max,147451.33490897232,0.0
Max Packet Length,136603.3377780198,0.0
Packet Length Variance,120093.65480202944,0.0
Packet Length Mean,118586.81600564941,0.0
Flow IAT Std,90433.97999327324,0.0
FIN Flag Count,51755.84202997788,0.0
Flow Duration,39841.597616516585,0.0
Flow IAT Mean,30240.25800165624,0.0
ACK Flag Count,26292.405717036116,0.0
Bwd IAT Std,23224.213215412194,0.0
Min Packet Length,16626.28097530418,0.0
Bwd IAT Max,15291.381020180736,0.0
Bwd Packet Length Min,15063.642806940623,0.0
Total Length of Fwd Packets,6139.6532010978735,0.0
Idle Std,6134.954205330281,0.0
PSH Flag Count,5978.107168690162,0.0
PacketRatio,5917.067555168432,0.0
Init_Win_bytes_backward,4371.602943647495,0.0
Bwd IAT Total,3962.431689300399,0.0
Init_Win_bytes_forward,3929.8027779257313,0.0
Fwd Packet Length Min,2576.012417248553,0.0
Fwd PSH Flags,1979.9907654006047,0.0
Bwd IAT Mean,1868.496316426264,0.0
Fwd Packet Length Mean,1861.5664542674515,0.0
Fwd Packet Length Max,1816.0317725916118,0.0
Down/Up Ratio,1737.8198339438354,0.0
URG Flag Count,1407.988283768924,0.0
Flow Packets/s,767.821137259057,0.0
Bwd Packets/s,634.9056971695841,0.0
Bwd IAT Min,506.41555112606477,0.0
Fwd Packets/s,501.86127691193366,0.0
Flow Bytes/s,469.95172102461333,0.0
Fwd IAT Min,439.8719380941305,0.0
Flow IAT Min,411.8136559058802,0.0
Active Min,409.1511432314408,0.0
Active Std,305.81328069082383,0.0
Active Mean,227.3735766828319,0.0
Active Max,141.29987702058722,3.3328526300173813e-209
ByteRatio,23.63604252812786,2.2934703431706938e-32
Total Fwd Packets,11.617946012551696,7.398721750894352e-15
act_data_pkt_fwd,5.116643838173142,7.852232647767842e-06
min_seg_size_forward,0.42023757792236105,0.8903456730965726
Fwd Header Length,0.38393877808366783,0.912323204467278
Bwd Header Length,0.17939466056233352,0.9895857483594729
