,precision,recall,f1-score,support
Benign,0.9965170075806306,0.9970110548068627,0.9967639699749792,209773.0
Bot,1.0,0.5652173913043478,0.7222222222222222,184.0
BruteForce,0.997716894977169,0.9857142857142858,0.9916792738275341,1330.0
DDoS,0.9865163913334363,0.998957736203033,0.9926980838943552,19189.0
DoS,0.9862056862056862,0.9897143259713269,0.9879568909439336,28389.0
Other,0.0,0.0,0.0,7.0
PortScan,0.9886363636363636,0.7837837837837838,0.8743718592964824,222.0
WebAttack,0.0,0.0,0.0,301.0
accuracy,0.9946259565527478,0.9946259565527478,0.9946259565527478,0.9946259565527478
macro avg,0.7444490429666607,0.6650498222229551,0.6957115375199383,259395.0
weighted avg,0.9934673345023962,0.9946259565527478,0.9939902190029134,259395.0
